Var1,Var2,Corr,Abs_Corr
pvoteTDratio,pvoteTGratio,-0.9999999999999742,0.9999999999999742
pparratio,pabs,-0.9999999999999252,0.9999999999999252
pvoteGratio,pvoixNUPratio,0.9852703760410979,0.9852703760410979
pop2022,nmencomp,0.9776110188376744,0.9776110188376744
pvoteCGratio,pvoixDVGratio,0.9594978751115104,0.9594978751115104
pvoixRNratio,pvoteDratio,0.9565337216651767,0.9565337216651767
pvoteDCDratio,pvoteTDratio,0.9387930238710201,0.9387930238710201
pvoteTGratio,pvoteDCDratio,-0.9387930234771872,0.9387930234771872
pvoteGCGratio,pvoteTGratio,0.9095538742467144,0.9095538742467144
pvoteTDratio,pvoteGCGratio,-0.9095538737715888,0.9095538737715888
perimmigre2022,peretr2022,0.9046466869388924,0.9046466869388924
pvoixENSratio,pvoteCratio,0.8947278356708016,0.8947278356708016
prixm2ratio2022,capitalratio2022,0.8877239344862083,0.8877239344862083
peretr2022,part_etranger,0.8676666288776614,0.8676666288776614
perimmigre2022,part_etranger,0.8078541241308264,0.8078541241308264
pcapi2022,ppint2022,0.790182119127325,0.790182119127325
pvoixLRratio,pvoteCDratio,0.7762953397041936,0.7762953397041936
pvoteDCDratio,pvoteCDratio,0.7626859221378252,0.7626859221378252
pbac2022,psup2022,0.751288051619446,0.751288051619446
paica2022,paind2022,0.7406535560693784,0.7406535560693784
pouem2022,pcapi2022,-0.7167821199220438,0.7167821199220438
pvoteGCGratio,pvoteDCDratio,-0.7107210383650931,0.7107210383650931
pagri2022,paind2022,0.7042609311256945,0.7042609311256945
pvoteGratio,pvoteGCGratio,0.695330446390372,0.695330446390372
pvoteCDratio,pvoteTGratio,-0.6857653687723744,0.6857653687723744
pvoteTDratio,pvoteCDratio,0.6857653680997772,0.6857653680997772
pvoixNUPratio,pvoteGCGratio,0.6752946424852667,0.6752946424852667
pvoteTGratio,pvoteGratio,0.663992703821061,0.663992703821061
pvoteGratio,pvoteTDratio,-0.6639927036873043,0.6639927036873043
paind2022,pindp2022,0.6635859165559815,0.6635859165559815
pvoteTGratio,pvoixNUPratio,0.6449075542494267,0.6449075542494267
pvoteTDratio,pvoixNUPratio,-0.6449075535018836,0.6449075535018836
pouvr2022,pouem2022,0.6444379734411252,0.6444379734411252
paica2022,pouem2022,-0.6350847802474354,0.6350847802474354
pempl2022,pouem2022,0.5992368256120317,0.5992368256120317
pvoteGCGratio,pvoteCGratio,0.5945943967118289,0.5945943967118289
pvoteDCDratio,pvoixLRratio,0.5891768332353047,0.5891768332353047
pvoteCratio,pvoteDCDratio,-0.575999420674722,0.575999420674722
pvoteGCGratio,pvoixDVGratio,0.5712379610116832,0.5712379610116832
pouem2022,ppint2022,-0.5602723249157597,0.5602723249157597
pvoteGratio,pvoteDCDratio,-0.5475952604667584,0.5475952604667584
pcadr2022,pcapi2022,0.5443646711882858,0.5443646711882858
pcadr2022,paica2022,0.5396600768810517,0.5396600768810517
pvoteDCDratio,pvoixNUPratio,-0.5318970966211398,0.5318970966211398
pvoixLRratio,pvoteTDratio,0.5302825896599367,0.5302825896599367
pvoteTGratio,pvoixLRratio,-0.5302825896141888,0.5302825896141888
pvoteCDratio,pvoteCratio,-0.5110630099943668,0.5110630099943668
paica2022,pindp2022,0.5104852705512961,0.5104852705512961
revratio2022,capitalratio2022,0.50761866414742,0.50761866414742
pvoteDCDratio,pvoixENSratio,-0.5067154277694774,0.5067154277694774
pvoteTGratio,pvoteCGratio,0.5055169987478266,0.5055169987478266
pvoteCGratio,pvoteTDratio,-0.5055169982453493,0.5055169982453493
pagri2022,paica2022,0.5035844057018166,0.5035844057018166
pvoteCDratio,pvoteGCGratio,-0.4803054787643233,0.4803054787643233
revratio2022,prixm2ratio2022,0.4742367194977401,0.4742367194977401
peretr2022,part_francais,-0.4735997430286036,0.4735997430286036
pvoixDVGratio,pvoteTGratio,0.4699880032625031,0.4699880032625031
pvoteTDratio,pvoixDVGratio,-0.4699880026138912,0.4699880026138912
pvoteDratio,pvoteTDratio,0.4698130179225254,0.4698130179225254
pvoteTGratio,pvoteDratio,-0.46981301640414563,0.46981301640414563
pcapi2022,pouvr2022,-0.4695032943912983,0.4695032943912983
pvoixRNratio,pvoteTDratio,0.46441705021583723,0.46441705021583723
pvoteTGratio,pvoixRNratio,-0.4644170492645238,0.4644170492645238
pvoteDCDratio,pvoixRNratio,0.45682106019880375,0.45682106019880375
pvoteDratio,pvoteDCDratio,0.45612410878888904,0.45612410878888904
pvoixENSratio,pvoteCDratio,-0.4487444360584147,0.4487444360584147
perimmigre2022,part_francais,-0.44700891180431407,0.44700891180431407
psup2022,pcapi2022,0.440540405865582,0.440540405865582
part_etranger,part_francais,-0.4385366005426004,0.4385366005426004
perpropri2022,perrsa2021,-0.4385003339855049,0.4385003339855049
paind2022,pouem2022,-0.4258194613245581,0.4258194613245581
pvoteCDratio,pvoixDVDratio,0.4231617510499837,0.4231617510499837
pcapi2022,pempl2022,-0.4215844599315604,0.4215844599315604
pouvr2022,paica2022,-0.41410550883266845,0.41410550883266845
pvoteDratio,pvoteGCGratio,-0.40914336712084226,0.40914336712084226
pcadr2022,pouem2022,-0.39856206082300444,0.39856206082300444
pvoixRNratio,pvoteGCGratio,-0.39728333181650544,0.39728333181650544
pvoteCratio,pvoixLRratio,-0.39354672836047017,0.39354672836047017
prixm2ratio2022,popagglo2022,0.3763391930159584,0.3763391930159584
pempl2022,paica2022,-0.37550643737931977,0.37550643737931977
pvoixLRratio,pvoteGCGratio,-0.3721135824126012,0.3721135824126012
pouem2022,psup2022,-0.36955381950771266,0.36955381950771266
pvoteCGratio,pvoteDCDratio,-0.36283976791532324,0.36283976791532324
pvoteCDratio,pvoteGratio,-0.3590711353681472,0.3590711353681472
pcadr2022,psup2022,0.35906520254971114,0.35906520254971114
pbac2022,pcapi2022,0.35867394517665246,0.35867394517665246
pouvr2022,ppint2022,-0.3558784771293163,0.3558784771293163
pvoteCratio,pvoixUDIratio,0.3534093222231647,0.3534093222231647
pvoixNUPratio,pvoteCDratio,-0.34579345579553494,0.34579345579553494
