dep;codecommune;nfoyisf2017;mmoyfortune2017;pisf2017;perpisf2017;misf2017;permisf2017;pop2017
1;1053;157;2261155;.0037806728;.34469065;8548.6875;.29224324;41527
1;1283;88;3236170;.0039238418;.38132802;12698.219;.53863895;22427
2;2408;64;2364416;.0025727609;.16662753;6083.0771;.18039422;24876
2;2691;156;2635912;.0028987662;.21937381;7640.8926;.25166839;53816
2;2722;165;2525140;.0057833861;.61013579;14603.859;.6078223;28530
3;3185;111;2591793;.0031133424;.24304596;8069.1392;.26859972;35653
3;3190;59;2524509;.0030004068;.2282543;7574.5542;.24559575;19664
3;3310;177;2369664;.0073243398;.72385091;17356.225;.68591964;24166
4;4112;127;2587327;.0056866519;.60691589;14713.229;.61065072;22333
5;5061;222;2365217;.0054285363;.59304082;12839.667;.54193485;40895
6;6004;1019;2545847;.013959095;.8873387;35537.723;.87714434;72999
6;6027;407;2309780;.0079916744;.74002641;18459.01;.70293689;50928
6;6029;1511;3227873;.020455407;.9098779;66027.453;.92888689;73868
6;6030;382;2550895;.0092112562;.8053903;23496.947;.76231706;41471
6;6069;323;2467098;.006409239;.67878121;15812.221;.66612709;50396
6;6079;354;2405839;.015766969;.89832109;37932.789;.88237154;22452
6;6083;225;2269107;.0077698738;.73373979;17630.674;.68849576;28958
6;6088;3118;2610132;.0091701299;.80232972;23935.25;.7838909;340017
6;6123;212;2365713;.0074508837;.72685868;17626.652;.68719637;28453
6;6155;337;2571626;.012634973;.85270965;32492.426;.85576826;26672
8;8105;128;2285146;.002756957;.20387167;6300.0493;.18689503;46428
10;10387;206;2909408;.0033413353;.27245748;9721.3076;.36737797;61652
11;11069;155;2382226;.003367296;.2858901;8021.6602;.26442033;46031
11;11262;176;2349912;.0032175502;.2582866;7560.96;.24317136;54700
12;12145;72;2916430;.0032565924;.25927866;9497.624;.33995458;22109
12;12202;147;2465113;.0061104875;.66174304;15063.042;.61457217;24057
13;13001;1959;2807145;.013749105;.87915206;38595.73;.88876492;142482
13;13002;129;2376183;.0060886391;.66066355;14467.721;.60654211;21187
13;13004;198;2448116;.0037679835;.34282729;9224.4609;.33213642;52548
13;13005;236;2444431;.00510723;.58125687;12484.271;.5317592;46209
13;13028;279;2441527;.0079319952;.73679113;19366.18;.70745605;35174
13;13047;70;2646607;.0016228873;.051379196;4295.145;.073970482;43133
13;13054;71;2333634;.0021567435;.12346518;5033.0503;.10798081;32920
13;13055;3972;2814098;.0046008965;.54148221;12947.374;.58067256;863310
13;13056;103;2184086;.0021374617;.11816406;4668.3999;.089970469;48188
13;13071;71;2334144;.0033735626;.28683448;7874.3809;.25934711;21046
13;13103;167;2234631;.0036680724;.32785535;8196.7881;.27167225;45528
14;14118;581;2773858;.0055147409;.60159016;15297.107;.61929953;105354
15;15014;118;2606677;.0046276324;.54262638;12062.743;.50934803;25499
16;16015;137;2611329;.0032822234;.26534706;8570.9648;.29532042;41740
17;17299;52;2328288;.00215312;.12198802;5013.0835;.10650366;24151
17;17300;619;2585756;.0081732357;.74342471;21133.992;.73162234;75735
17;17415;112;2513451;.0043973303;.46460101;11052.474;.4454329;25470
18;18033;249;2313939;.0038574152;.37146905;8925.8232;.31335133;64551
19;19031;228;2692768;.0048597492;.56251693;13086.178;.58767217;46916
21;21054;159;2813839;.007560268;.7278024;21273.377;.732566;21031
21;21231;705;2742773;.004492735;.48352128;12322.553;.52359283;156920
22;22113;80;2258484;.0040241447;.38715675;9088.4668;.32631949;19880
22;22278;172;2409479;.0038763185;.37583452;9339.9082;.33412743;44372
24;24037;120;2091398;.0044721053;.46817049;9352.9521;.33533147;26833
24;24322;110;2457359;.003670827;.32919994;9020.54;.32300812;29966
25;25056;399;2549941;.0034416134;.29367584;8775.9111;.30492523;115934
25;25388;58;2117787;.0022839142;.12959984;4836.8438;.095642902;25395
26;26198;170;2694564;.0043481598;.45659465;11716.395;.49009335;39097
26;26281;100;2330674;.0030156816;.23366188;7028.5708;.21867512;33160
26;26362;260;2749326;.0040807356;.40053651;11219.273;.4526417;63714
27;27229;137;2478401;.0028701317;.21553032;7113.3374;.22706841;47733
27;27681;99;2168318;.004147118;.40546381;8992.2705;.32166353;23872
28;28085;286;2509646;.0074135517;.72558194;18605.391;.70466799;38578
28;28134;63;2650964;.0020293777;.10247153;5379.8071;.12941672;31044
29;29019;276;2706305;.0019705277;.093445249;5332.8491;.12802373;140064
29;29232;223;2320167;.0035405254;.31223017;8214.6104;.27589595;62985
2A;2A004;275;2762103;.0038919316;.37900507;10749.916;.41714376;70659
2B;2B033;120;2501135;.002624959;.17650031;6565.377;.19194447;45715
30;30007;124;2321344;.0030831199;.2390312;7156.9819;.22887309;40219
