dep,codecommune,ppropri2022,nlogement2022,npropri2022,perpropri2022
1,1001,.82535887,418,345,.88158184
1,1002,.80952382,126,102,.85307425
1,1003,,0,0,1.0000014
1,1004,.41614649,7209,3000,.25782242
1,1005,.7682119,604,464,.77873713
1,1006,.66233766,77,51,.6163289
1,1007,.7723949,1094,845,.78709322
1,1008,.720339,354,255,.69965738
1,1009,.8186813,182,149,.86952215
1,1010,.73854959,524,387,.72797185
1,1011,.85714287,147,126,.9319914
1,1012,.85185188,162,138,.92407674
1,1013,.93333334,75,70,.99428797
1,1014,.60978925,1471,897,.5403176
1,1015,.83561641,219,183,.89952272
1,1016,.86792451,159,138,.94667935
1,1017,.76078433,255,194,.76586044
1,1018,,0,0,1.0000014
1,1019,.86956519,23,20,.94861466
1,1020,,0,0,1.0000014
1,1021,.74137932,580,430,.73360431
1,1022,.5906902,623,368,.51602638
1,1023,.86363637,44,38,.94153893
1,1024,.76067799,1475,1122,.76558954
1,1025,.83816797,1310,1098,.90376246
1,1026,.61757106,387,239,.54885501
1,1027,.7537415,735,554,.75470269
1,1028,.83070868,254,211,.89161891
1,1029,.80000001,265,212,.83576816
1,1030,.4799107,448,215,.36818743
1,1031,.34140968,1816,620,.11744161
1,1032,.55547601,1397,776,.47221357
1,1033,.38549292,5873,2264,.21439362
1,1034,.42273042,4329,1830,.26173496
1,1035,.7483871,155,116,.74527478
1,1036,.73448277,290,213,.72100365
1,1037,.77622378,143,111,.79456604
1,1038,.87826085,345,303,.95862335
1,1039,.81862748,204,167,.86950403
1,1040,.87898088,157,138,.95933831
1,1041,.79005527,362,286,.81838906
1,1042,.90476191,105,95,.98135215
1,1043,.81230634,2259,1835,.85783255
1,1044,.7409091,220,163,.73230839
1,1045,.76923078,130,100,.78053135
1,1046,.77567565,370,287,.79317784
1,1047,.84295613,433,365,.91129351
1,1048,,0,0,1.0000014
1,1049,.78713262,1259,991,.81330401
1,1050,.82474226,97,80,.88047171
1,1051,.82539684,63,52,.88165945
1,1052,.79230767,130,103,.8222549
1,1053,.35375276,21744,7692,.16055103
1,1054,.83595115,573,479,.9000085
1,1055,,0,0,1.0000014
1,1056,.85714287,182,156,.93263543
1,1057,.80000001,260,208,.83634996
1,1058,.72527474,364,264,.7064715
1,1059,.82857144,35,29,.88776124
1,1060,.75636363,275,208,.75876325
1,1061,.938326,454,426,.99580163
1,1062,.8567335,349,299,.93180531
1,1063,.83870965,217,182,.9049589
1,1064,.63723606,521,332,.57847756
1,1065,.82426304,882,727,.87950748
1,1066,.79545456,44,35,.82804757
1,1067,.73109245,119,87,.71555525
1,1068,.72131145,366,264,.70088232
1,1069,.70877659,752,533,.68200731
1,1070,,0,0,1.0000014
1,1071,.70154458,2007,1408,.67069429
1,1072,.68547779,1329,911,.64999956
1,1073,.88344991,429,379,.96411729
1,1074,.5507881,1142,629,.46569449
1,1075,.73473281,524,385,.72141498
1,1076,.75609756,82,62,.75847882
1,1077,.75675678,74,56,.75924671
1,1078,.74666667,450,336,.7417112
1,1079,.66071427,280,185,.61381787
1,1080,.66666669,222,148,.62327629
1,1081,.61269844,315,193,.54357022
1,1082,.6388889,288,184,.58153826
1,1083,.8510204,490,417,.92269117
1,1084,.83081573,331,275,.89183921
1,1085,.76351351,148,113,.77068543
1,1086,,0,0,1.0000014
1,1087,.80575538,139,112,.84608322
1,1088,.94871795,390,370,.99760133
1,1089,.79043281,878,694,.81911951
1,1090,.76744187,172,132,.77748191
1,1091,.69368029,1345,933,.66083997
1,1092,.81954885,798,654,.87081045
1,1093,.49706391,2895,1439,.39674702
1,1094,.83136094,338,281,.89286911
1,1095,.7235142,387,280,.70422482
1,1096,.8300221,453,376,.89031065
1,1097,.84112149,107,90,.90830779
1,1098,.7988981,363,290,.83385307
1,1099,.83667183,649,543,.9015066
1,1100,.89908254,109,98,.9773494
1,1101,.73394495,109,80,.72016138
1,1102,.84112149,428,360,.9083246
1,1103,.78509319,805,632,.81004024
1,1104,.7175926,216,155,.69539738
1,1105,.8361153,659,551,.90039486
1,1106,.91358024,81,74,.98675352
1,1107,.84337348,83,70,.91196752
